3876	1303	
6976	280	
3175	3284	
537	9533	
7245	7363	
572	7157	
1215	236	
1359	1196	
4758	5901	
9524	7909	
9474	1889	
2368	896	
5021	3279	
6838	8457	
1366	8332	
2654	6845	
7611	7230	
8689	6217	
582	8767	
1196	6097	
5567	9946	
4368	1785	
3474	8869	
2873	9316	
8845	8394	
7360	3478	
5034	1220	
5353	7064	
4401	7203	
2771	9384	
6227	5260	
3631	9978	
493	4175	
7415	8896	
8195	7814	
5509	7809	
304	4680	
932	6568	
3610	3975	
9099	4876	
6834	6204	
3196	4152	
7497	4124	
7036	3190	
1413	6551	
7935	4380	
6466	4654	
9362	7715	
8294	5614	
4818	704	
1454	8557	
9589	9650	
3570	4800	
4129	8215	
9910	9190	
2724	2634	
6739	9285	
5188	2285	
7618	9279	
5684	1422	
7962	8704	
8904	9578	
454	3511	
7637	6715	
7285	6415	
4532	7551	
5375	8649	
8163	7447	
981	7543	
5381	648	
5435	5847	
34	1105	
5966	7002	
4508	5690	
1087	5296	
7120	7141	
4295	6994	
8721	68	
3245	7852	
7702	2535	
5595	8101	
6115	3759	
9141	3836	
632	5748	
5183	6161	
7046	6608	
3401	6909	
3264	3094	
7645	6782	
4727	8626	
867	5251	
1883	9103	
7486	7649	
6770	7176	
4630	6911	
2142	5093	
2021	6210	
3320	3883	
8608	2779	
3893	5185	
2607	498	
5762	3344	
31	9364	
8492	6195	
5224	1096	
2025	5050	
8097	4381	
8771	5006	
1131	5071	
2167	7423	
4379	5928	
4822	4841	
6443	6163	
3052	3140	
7804	8507	
2447	6059	
4027	2179	
7400	3972	
5825	5439	
8716	6126	
2078	2991	
3507	7225	
134	8123	
1731	1999	
3219	7386	
7071	5921	
8035	3805	
1752	9313	
1331	4292	
4616	624	
8879	2455	
7772	4518	
5618	3785	
9952	4212	
3694	8077	
2044	2034	
8255	1724	
5422	417	
4771	2513	
1816	3168	
2985	9981	
4059	1886	
1703	8439	
6925	8550	
8979	9332	
6849	732	
1727	7999	
2032	8050	
5720	2085	
7713	6391	
4035	1311	
7989	7757	
3772	7853	
4562	533	
1132	6284	
3839	7497	
1316	3235	
6951	486	
8826	8944	
7542	2164	
9665	922	
5074	3156	
9586	2066	
2315	2997	
4621	3387	
2888	9634	
8595	963	
8304	5324	
2094	7869	
2065	5455	
3758	2237	
1080	483	
3862	8543	
1474	7170	
226	7780	
6582	6256	
8683	1850	
7273	4924	
1225	1478	
3444	6962	
9123	817	
9977	2555	
1297	8892	
4946	1586	
2753	5458	
9223	963	
3673	905	
7125	4770	
4123	5811	
